2020-07-01 15:58:43 [8]  在?看看熊猫第[2]刀整刀,对2周目Boss3造成[452,662]伤害,剩余血量[1,204,167]
2020-07-01 16:00:57 [8]  在?看看熊猫第[3]刀整刀,对2周目Boss3造成[354,361]伤害,剩余血量[849,806]
2020-07-01 16:17:14 [8]  扎克 特兰提斯第[1]刀整刀,对2周目Boss3造成[636,609]伤害,剩余血量[213,197]
2020-07-01 16:21:15 [8]  扎克 特兰提斯第[1.5]刀尾刀,对2周目Boss4造成[213,197]伤害,当前Boss已被击杀
2020-07-01 16:22:56 [8]  扎克 特兰提斯第[2.0]刀补刀,对2周目Boss4造成[226,987]伤害,剩余血量[11,773,013]
2020-07-01 16:38:17 [8]  珈百璃第[1]刀整刀,对2周目Boss4造成[879,122]伤害,剩余血量[10,893,891]
2020-07-01 16:49:54 [8]  霸王黄龙第[2]刀整刀,对2周目Boss4造成[883,339]伤害,剩余血量[10,010,552]
2020-07-01 17:12:17 [8]  霸王黄龙第[3]刀整刀,对2周目Boss4造成[670,998]伤害,剩余血量[9,339,554]
2020-07-01 17:16:06 [8]  霸王黄龙第[4]刀整刀,对2周目Boss4造成[714,009]伤害,剩余血量[8,625,545]
2020-07-01 17:53:37 [8]  哈卡第[1]刀整刀,对2周目Boss4造成[722,221]伤害,剩余血量[7,903,324]
2020-07-01 17:58:57 [8]  哈卡第[2]刀整刀,对2周目Boss4造成[497,926]伤害,剩余血量[7,405,398]
2020-07-01 18:11:36 [8]  哈卡第[3]刀整刀,对2周目Boss4造成[362,018]伤害,剩余血量[7,043,380]
2020-07-01 18:18:13 [8]  菠萝灵波第[2]刀整刀,对2周目Boss4造成[638,437]伤害,剩余血量[6,404,943]
2020-07-01 18:19:40 [8]  血与泪第[1]刀整刀,对2周目Boss4造成[725,714]伤害,剩余血量[5,679,229]
2020-07-01 18:24:56 [8]  血与泪第[2]刀整刀,对2周目Boss4造成[760,695]伤害,剩余血量[4,918,534]
2020-07-01 19:02:31 [8]  虚空的风灯第[1]刀整刀,对2周目Boss4造成[644,503]伤害,剩余血量[4,274,031]
2020-07-01 19:08:30 [8]  菠萝灵波第[3]刀整刀,对2周目Boss4造成[735,216]伤害,剩余血量[3,538,815]
2020-07-01 19:13:10 [8]  SEAREA第[1]刀整刀,对2周目Boss4造成[741,504]伤害,剩余血量[2,797,311]
2020-07-01 19:29:56 [8]  刚玉狐第[1]刀整刀,对2周目Boss4造成[704,233]伤害,剩余血量[2,093,078]
2020-07-01 19:41:57 [8]  警觉的食材第[2]刀整刀,对2周目Boss4造成[779,945]伤害,剩余血量[1,313,133]
2020-07-01 19:46:51 [8]  刚玉狐第[2]刀整刀,对2周目Boss4造成[576,720]伤害,剩余血量[736,413]
2020-07-01 20:14:12 [8]  泉第[0.5]刀尾刀,对2周目Boss5造成[736,413]伤害,当前Boss已被击杀
2020-07-01 20:15:49 [8]  泉第[1.0]刀补刀,对2周目Boss5造成[74,335]伤害,剩余血量[19,925,665]
2020-07-01 20:19:52 [8]  Ar.ak第[2]刀整刀,对2周目Boss5造成[614,251]伤害,剩余血量[19,311,414]
2020-07-01 20:24:24 [8]  Shiro第[1]刀整刀,对2周目Boss5造成[575,615]伤害,剩余血量[18,735,799]
2020-07-01 20:28:07 [8]  刚玉狐第[3]刀整刀,对2周目Boss5造成[482,154]伤害,剩余血量[18,253,645]
2020-07-01 20:31:51 [8]  Shiro第[2]刀整刀,对2周目Boss5造成[426,587]伤害,剩余血量[17,827,058]
2020-07-01 20:49:30 [8]  Ar.ak第[3]刀整刀,对2周目Boss5造成[421,809]伤害,剩余血量[17,405,249]
2020-07-01 20:57:11 [8]  泉第[2.0]刀整刀,对2周目Boss5造成[715,091]伤害,剩余血量[16,690,158]
2020-07-01 20:59:43 [8]  泠泠（hh剑，这就是星辰大海啊）第[1]刀整刀,对2周目Boss5造成[587,974]伤害,剩余血量[16,102,184]
2020-07-01 21:07:27 [8]  泠泠（hh剑，这就是星辰大海啊）第[2]刀整刀,对2周目Boss5造成[560,871]伤害,剩余血量[15,541,313]
2020-07-01 21:08:07 [8]  泉第[3.0]刀整刀,对2周目Boss5造成[422,829]伤害,剩余血量[15,118,484]
2020-07-01 21:15:00 [8]  珈百璃第[2]刀整刀,对2周目Boss5造成[700,194]伤害,剩余血量[14,418,290]
2020-07-01 21:15:06 [8]  泠泠（hh剑，这就是星辰大海啊）第[3]刀整刀,对2周目Boss5造成[353,566]伤害,剩余血量[14,064,724]
2020-07-01 21:16:06 [8]  【蜗牛】莉玛Official第[1]刀整刀,对2周目Boss5造成[565,115]伤害,剩余血量[13,499,609]
2020-07-01 21:19:04 [8]  警觉的食材第[3]刀整刀,对2周目Boss5造成[709,273]伤害,剩余血量[12,790,336]
2020-07-01 21:22:10 [8]  珈百璃第[3]刀整刀,对2周目Boss5造成[454,723]伤害,剩余血量[12,335,613]
2020-07-01 21:24:55 [8]  我就叫柚子第[1]刀整刀,对2周目Boss5造成[668,092]伤害,剩余血量[11,667,521]
2020-07-01 21:28:45 [8]  扎克 特兰提斯第[3.0]刀整刀,对2周目Boss5造成[547,967]伤害,剩余血量[11,119,554]
2020-07-01 21:32:18 [8]  我就叫柚子第[2]刀整刀,对2周目Boss5造成[665,131]伤害,剩余血量[10,454,423]
2020-07-01 21:33:04 [8]  永远滴神第[2]刀整刀,对2周目Boss5造成[594,998]伤害,剩余血量[9,859,425]
2020-07-01 21:33:10 [8]  Shiro第[3]刀整刀,对2周目Boss5造成[403,724]伤害,剩余血量[9,455,701]
2020-07-01 21:36:59 [8]  霸王黄龙第[5]刀整刀,对2周目Boss5造成[757,143]伤害,剩余血量[8,698,558]
2020-07-01 21:46:03 [8]  霸王黄龙第[6]刀整刀,对2周目Boss5造成[512,873]伤害,剩余血量[8,185,685]
